country,lat_long,lat,lon,population_str,population,median_age_str,median_age_total,median_age_male,median_age_female,male_minus_female,age_dist_str,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc,0-14_male,0-14_female,15-24_male,15-24_female,25-54_male,25-54_female,55-64_male,55-64_female,65+_male,65+_female,migration_str,migration,birth_rate,death_rate,pop_growth,map_ref,life_exp_total,life_exp_male,life_exp_female
"Korea, South","37 00 N, 127 30 E",37.0,127.5,"51,181,299 (July 2017 est.)",51181299,"total: 41.8 years
male: 40.2 years
female: 43.4 years (2017 est.)",41.8,40.2,43.4,-3.1999999999999957,"0-14 years: 13.21% (male 3,484,398/female 3,276,984)
15-24 years: 12.66% (male 3,415,998/female 3,065,144)
25-54 years: 45.52% (male 11,992,462/female 11,303,726)
55-64 years: 14.49% (male 3,660,888/female 3,756,947)
65 years and over: 14.12% (male 3,080,601/female 4,144,151) (2017 est.)",13.21,12.66,45.52,14.49,14.12,3484398,3276984,3415998,3065144,11992462,11303726,3660888,3756947,3080601,4144151,"2.5 migrant(s)/1,000 population (2017 est.)",2.5,8.3,6.0,2.3000000000000007,Asia,82.5,79.3,85.8
Kuwait,"29 30 N, 45 45 E",29.5,45.75,"2,875,422 (July 2017 est.)
note: Kuwait's Public Authority for Civil Information estimates the country's total population to be 4,437,590 for 2017, with immigrants accounting for more than 69.5%",2875422,"total: 29.3 years
male: 30.4 years
female: 27.4 years (2017 est.)",29.3,30.4,27.4,3.0,"0-14 years: 25.02% (male 374,259/female 345,104)
15-24 years: 15.1% (male 238,451/female 195,700)
25-54 years: 52.27% (male 948,902/female 554,050)
55-64 years: 5.07% (male 82,366/female 63,505)
65 years and over: 2.54% (male 33,561/female 39,524) (2017 est.)",25.02,15.1,52.27,5.07,2.54,374259,345104,238451,195700,948902,554050,82366,63505,33561,39524,"-2.4 migrant(s)/1,000 population (2017 est.)",-2.4,19.2,2.2,17.0,Middle East,78.2,76.8,79.6
Kyrgyzstan,"41 00 N, 75 00 E",41.0,75.0,"5,789,122 (July 2017 est.)",5789122,"total: 26.5 years
male: 25.4 years
female: 27.6 years (2017 est.)",26.5,25.4,27.6,-2.200000000000003,"0-14 years: 30.3% (male 899,545/female 854,745)
15-24 years: 16.79% (male 493,924/female 478,217)
25-54 years: 39.84% (male 1,130,422/female 1,175,729)
55-64 years: 7.8% (male 196,856/female 254,694)
65 years and over: 5.27% (male 116,584/female 188,406) (2017 est.)",30.3,16.79,39.84,7.8,5.27,899545,854745,493924,478217,1130422,1175729,196856,254694,116584,188406,"-5.1 migrant(s)/1,000 population (2017 est.)",-5.1,22.1,6.5,15.6,Asia,70.9,66.8,75.4
Laos,"18 00 N, 105 00 E",18.0,105.0,"7,126,706 (July 2017 est.)",7126706,"total: 23 years
male: 22.7 years
female: 23.3 years (2017 est.)",23.0,22.7,23.3,-0.6000000000000014,"0-14 years: 32.76% (male 1,180,227/female 1,154,550)
15-24 years: 21.17% (male 749,312/female 759,677)
25-54 years: 36.7% (male 1,290,768/female 1,324,390)
55-64 years: 5.48% (male 190,627/female 199,673)
65 years and over: 3.89% (male 125,682/female 151,800) (2017 est.)",32.76,21.17,36.7,5.48,3.89,1180227,1154550,749312,759677,1290768,1324390,190627,199673,125682,151800,"-1.1 migrant(s)/1,000 population (2017 est.)",-1.1,23.6,7.4,16.200000000000006,Southeast Asia,64.6,62.6,66.7
Latvia,"57 00 N, 25 00 E",57.0,25.0,"1,944,643 (July 2017 est.)",1944643,"total: 43.6 years
male: 39.7 years
female: 46.9 years (2017 est.)",43.6,39.7,46.9,-7.1999999999999975,"0-14 years: 15.15% (male 151,195/female 143,388)
15-24 years: 9.45% (male 94,779/female 88,952)
25-54 years: 41.75% (male 403,699/female 408,277)
55-64 years: 14.1% (male 121,993/female 152,260)
65 years and over: 19.55% (male 124,570/female 255,530) (2017 est.)",15.15,9.45,41.75,14.1,19.55,151195,143388,94779,88952,403699,408277,121993,152260,124570,255530,"-6.1 migrant(s)/1,000 population (2017 est.)",-6.1,9.7,14.5,-4.800000000000002,Europe,74.7,70.1,79.5
Lebanon,"33 50 N, 35 50 E",33.833333333333336,35.833333333333336,"6,229,794 (July 2017 est.)",6229794,"total: 30.5 years
male: 29.9 years
female: 31.1 years (2017 est.)",30.5,29.9,31.1,-1.2000000000000028,"0-14 years: 24.09% (male 768,282/female 732,773)
15-24 years: 16.42% (male 523,380/female 499,582)
25-54 years: 44.79% (male 1,412,114/female 1,378,464)
55-64 years: 7.91% (male 232,198/female 260,685)
65 years and over: 6.78% (male 183,995/female 238,321) (2017 est.)",24.09,16.42,44.79,7.91,6.78,768282,732773,523380,499582,1412114,1378464,232198,260685,183995,238321,"-20.3 migrant(s)/1,000 population (2017 est.)",-20.3,14.3,5.0,9.3,Middle East,77.8,76.5,79.1
Lesotho,"29 30 S, 28 30 E",-29.5,28.5,"1,958,042
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",1958042,"total: 24.2 years
male: 24.2 years
female: 24.2 years (2017 est.)",24.2,24.2,24.2,0.0,"0-14 years: 32.12% (male 316,106/female 312,869)
15-24 years: 19.43% (male 181,481/female 199,039)
25-54 years: 37.94% (male 362,798/female 380,001)
55-64 years: 5.01% (male 52,293/female 45,828)
65 years and over: 5.5% (male 55,163/female 52,464) (2017 est.)",32.12,19.43,37.94,5.01,5.5,316106,312869,181481,199039,362798,380001,52293,45828,55163,52464,"-6.8 migrant(s)/1,000 population (2017 est.)",-6.8,24.6,15.0,9.6,Africa,53.0,53.0,53.1
Liberia,"6 30 N, 9 30 W",6.5,-9.5,"4,689,021 (July 2017 est.)",4689021,"total: 17.8 years
male: 17.5 years
female: 18 years (2017 est.)",17.8,17.5,18.0,-0.5,"0-14 years: 43.82% (male 1,038,452/female 1,016,491)
15-24 years: 19.56% (male 457,806/female 459,289)
25-54 years: 30.33% (male 699,879/female 722,244)
55-64 years: 3.43% (male 82,616/female 78,003)
65 years and over: 2.86% (male 65,979/female 68,262) (2017 est.)",43.82,19.56,30.33,3.43,2.86,1038452,1016491,457806,459289,699879,722244,82616,78003,65979,68262,"-5.7 migrant(s)/1,000 population (2017 est.)",-5.7,38.3,7.6,30.7,Africa,63.3,61.2,65.5
Libya,"25 00 N, 17 00 E",25.0,17.0,"6,653,210 (July 2017 est.)
note: immigrants make up just over 12% of the total population, according to UN data (2017)",6653210,"total: 28.9 years
male: 29.1 years
female: 28.7 years (2017 est.)",28.9,29.1,28.7,0.4000000000000021,"0-14 years: 25.84% (male 879,311/female 839,824)
15-24 years: 17.09% (male 584,117/female 552,680)
25-54 years: 47.28% (male 1,651,362/female 1,494,106)
55-64 years: 5.48% (male 185,679/female 179,224)
65 years and over: 4.31% (male 141,867/female 145,040) (2017 est.)",25.84,17.09,47.28,5.48,4.31,879311,839824,584117,552680,1651362,1494106,185679,179224,141867,145040,"1.9 migrant(s)/1,000 population (2017 est.)",1.9,17.5,3.6,13.9,Africa,76.7,74.9,78.5
Liechtenstein,"47 16 N, 9 32 E",47.26666666666666,9.533333333333333,"38,244 (July 2017 est.)",38244,"total: 43.2 years
male: 41.7 years
female: 44.5 years (2017 est.)",43.2,41.7,44.5,-2.799999999999997,"0-14 years: 15.26% (male 3,148/female 2,689)
15-24 years: 11.65% (male 2,239/female 2,217)
25-54 years: 41.64% (male 7,956/female 7,969)
55-64 years: 14.03% (male 2,607/female 2,760)
65 years and over: 17.41% (male 3,058/female 3,601) (2017 est.)",15.26,11.65,41.64,14.03,17.41,3148,2689,2239,2217,7956,7969,2607,2760,3058,3601,"5 migrant(s)/1,000 population (2017 est.)",5.0,10.4,7.4,3.0,Europe,81.9,79.7,84.7
Lithuania,"56 00 N, 24 00 E",56.0,24.0,"2,823,859 (July 2017 est.)",2823859,"total: 43.7 years
male: 39.7 years
female: 47.1 years (2017 est.)",43.7,39.7,47.1,-7.399999999999999,"0-14 years: 15.01% (male 217,438/female 206,533)
15-24 years: 11.09% (male 161,965/female 151,197)
25-54 years: 40.05% (male 557,504/female 573,364)
55-64 years: 14.17% (male 177,157/female 223,110)
65 years and over: 19.67% (male 187,859/female 367,732) (2017 est.)",15.01,11.09,40.05,14.17,19.67,217438,206533,161965,151197,557504,573364,177157,223110,187859,367732,"-6.1 migrant(s)/1,000 population (2017 est.)",-6.1,9.9,14.6,-4.699999999999998,Europe,75.0,69.7,80.7
Luxembourg,"49 45 N, 6 10 E",49.75,6.166666666666668,"594,130 (July 2017 est.)",594130,"total: 39.3 years
male: 38.7 years
female: 39.9 years (2017 est.)",39.3,38.7,39.9,-1.1999999999999955,"0-14 years: 16.77% (male 51,333/female 48,296)
15-24 years: 12.18% (male 37,047/female 35,310)
25-54 years: 44.27% (male 134,986/female 128,028)
55-64 years: 11.77% (male 35,450/female 34,457)
65 years and over: 15.02% (male 39,786/female 49,437) (2017 est.)",16.77,12.18,44.27,11.77,15.02,51333,48296,37047,35310,134986,128028,35450,34457,39786,49437,"15.5 migrant(s)/1,000 population (2017 est.)",15.5,11.5,7.3,4.2,Europe,82.3,79.9,84.9
Macau,"22 10 N, 113 33 E",22.16666666666667,113.55,"601,969 (July 2017 est.)
note: Macau's statistical agency estimated the total population to be approximately 648,550 as of September 2017",601969,"total: 39.3 years
male: 39.5 years
female: 39.1 years (2017 est.)",39.3,39.5,39.1,0.3999999999999986,"0-14 years: 14.1% (male 44,133/female 40,764)
15-24 years: 11.73% (male 37,194/female 33,418)
25-54 years: 50.1% (male 134,244/female 167,318)
55-64 years: 13.5% (male 40,837/female 40,423)
65 years and over: 10.57% (male 29,764/female 33,874) (2017 est.)",14.1,11.73,50.1,13.5,10.57,44133,40764,37194,33418,134244,167318,40837,40423,29764,33874,"3.3 migrant(s)/1,000 population (2017 est.)",3.3,8.6,4.5,4.1,Southeast Asia,84.6,81.6,87.7
Macedonia,"41 50 N, 22 00 E",41.833333333333336,22.0,"2,103,721 (July 2017 est.)",2103721,"total: 37.9 years
male: 36.8 years
female: 39 years (2017 est.)",37.9,36.8,39.0,-2.200000000000003,"0-14 years: 17.17% (male 187,063/female 174,196)
15-24 years: 13.41% (male 145,716/female 136,444)
25-54 years: 43.6% (male 465,862/female 451,321)
55-64 years: 12.41% (male 128,024/female 132,955)
65 years and over: 13.41% (male 121,019/female 161,121) (2017 est.)",17.17,13.41,43.6,12.41,13.41,187063,174196,145716,136444,465862,451321,128024,132955,121019,161121,"-0.5 migrant(s)/1,000 population (2017 est.)",-0.5,11.4,9.2,2.200000000000001,Europe,76.4,73.8,79.2
Madagascar,"20 00 S, 47 00 E",-20.0,47.0,"25,054,161 (July 2017 est.)",25054161,"total: 19.7 years
male: 19.5 years
female: 19.9 years (2017 est.)",19.7,19.5,19.9,-0.3999999999999986,"0-14 years: 39.87% (male 5,035,160/female 4,952,909)
15-24 years: 20.34% (male 2,556,130/female 2,538,644)
25-54 years: 32.12% (male 4,022,698/female 4,025,038)
55-64 years: 4.38% (male 535,300/female 560,932)
65 years and over: 3.3% (male 374,770/female 452,580) (2017 est.)",39.87,20.34,32.12,4.38,3.3,5035160,4952909,2556130,2538644,4022698,4025038,535300,560932,374770,452580,"0 migrant(s)/1,000 population (2017 est.)",0.0,31.6,6.5,25.1,Africa,66.3,64.7,67.8
Malawi,"13 30 S, 34 00 E",-13.5,34.0,"19,196,246
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",19196246,"total: 16.5 years
male: 16.4 years
female: 16.7 years (2017 est.)",16.5,16.4,16.7,-0.3000000000000007,"0-14 years: 46.34% (male 4,427,403/female 4,468,120)
15-24 years: 20.55% (male 1,956,360/female 1,988,123)
25-54 years: 27.41% (male 2,612,840/female 2,648,997)
55-64 years: 3.01% (male 275,998/female 302,286)
65 years and over: 2.69% (male 227,582/female 288,537) (2017 est.)",46.34,20.55,27.41,3.01,2.69,4427403,4468120,1956360,1988123,2612840,2648997,275998,302286,227582,288537,"0 migrant(s)/1,000 population (2017 est.)",0.0,41.0,7.9,33.1,Africa,61.7,59.7,63.8
Malaysia,"2 30 N, 112 30 E",2.5,112.5,"31,381,992 (July 2017 est.)",31381992,"total: 28.5 years
male: 28.2 years
female: 28.8 years (2017 est.)",28.5,28.2,28.8,-0.6000000000000014,"0-14 years: 27.83% (male 4,493,084/female 4,238,991)
15-24 years: 16.81% (male 2,677,834/female 2,598,958)
25-54 years: 41% (male 6,507,499/female 6,358,762)
55-64 years: 8.27% (male 1,316,331/female 1,277,558)
65 years and over: 6.1% (male 907,850/female 1,005,125) (2017 est.)",27.83,16.81,41.0,8.27,6.1,4493084,4238991,2677834,2598958,6507499,6358762,1316331,1277558,907850,1005125,"-0.3 migrant(s)/1,000 population (2017 est.)",-0.3,19.1,5.1,14.000000000000002,Southeast Asia,75.2,72.4,78.2
Maldives,"3 15 N, 73 00 E",3.25,73.0,"392,709 (July 2017 est.)",392709,"total: 28.2 years
male: 28.1 years
female: 28.3 years (2017 est.)",28.2,28.1,28.3,-0.1999999999999993,"0-14 years: 21.4% (male 42,871/female 41,162)
15-24 years: 20.21% (male 45,547/female 33,804)
25-54 years: 48.1% (male 106,701/female 82,187)
55-64 years: 5.85% (male 11,312/female 11,667)
65 years and over: 4.45% (male 8,042/female 9,416) (2017 est.)",21.4,20.21,48.1,5.85,4.45,42871,41162,45547,33804,106701,82187,11312,11667,8042,9416,"-12.7 migrant(s)/1,000 population (2017 est.)",-12.7,16.1,4.0,12.1,Asia,75.8,73.5,78.3
Mali,"17 00 N, 4 00 W",17.0,-4.0,"17,885,245 (July 2017 est.)",17885245,"total: 15.8 years
male: 15.1 years
female: 16.4 years (2017 est.)",15.8,15.1,16.4,-1.299999999999999,"0-14 years: 48.17% (male 4,330,370/female 4,285,171)
15-24 years: 18.84% (male 1,604,914/female 1,765,479)
25-54 years: 26.26% (male 2,171,171/female 2,525,109)
55-64 years: 3.7% (male 335,023/female 326,910)
65 years and over: 3.03% (male 270,856/female 270,242) (2017 est.)",48.17,18.84,26.26,3.7,3.03,4330370,4285171,1604914,1765479,2171171,2525109,335023,326910,270856,270242,"-3.9 migrant(s)/1,000 population (2017 est.)",-3.9,43.9,9.8,34.099999999999994,Africa,60.3,58.2,62.5
Malta,"35 50 N, 14 35 E",35.833333333333336,14.583333333333336,"416,338 (July 2017 est.)",416338,"total: 41.8 years
male: 40.8 years
female: 43 years (2017 est.)",41.8,40.8,43.0,-2.200000000000003,"0-14 years: 15.04% (male 32,128/female 30,490)
15-24 years: 11.44% (male 24,471/female 23,142)
25-54 years: 39.98% (male 85,158/female 81,303)
55-64 years: 13.98% (male 28,919/female 29,298)
65 years and over: 19.56% (male 36,743/female 44,686) (2017 est.)",15.04,11.44,39.98,13.98,19.56,32128,30490,24471,23142,85158,81303,28919,29298,36743,44686,"2 migrant(s)/1,000 population (2017 est.)",2.0,10.1,9.4,0.6999999999999993,Europe,80.5,78.1,83.0
Marshall Islands,"9 00 N, 168 00 E",9.0,168.0,"74,539 (July 2017 est.)",74539,"total: 22.9 years
male: 22.8 years
female: 23 years (2017 est.)",22.9,22.8,23.0,-0.1999999999999993,"0-14 years: 34.89% (male 13,261/female 12,743)
15-24 years: 18% (male 6,820/female 6,594)
25-54 years: 37.28% (male 14,147/female 13,642)
55-64 years: 5.82% (male 2,189/female 2,148)
65 years and over: 4.02% (male 1,475/female 1,520) (2017 est.)",34.89,18.0,37.28,5.82,4.02,13261,12743,6820,6594,14147,13642,2189,2148,1475,1520,"-4.7 migrant(s)/1,000 population (2017 est.)",-4.7,24.4,4.2,20.2,Oceania,73.4,71.2,75.7
Mauritania,"20 00 N, 12 00 W",20.0,-12.0,"3,758,571 (July 2017 est.)",3758571,"total: 20.5 years
male: 19.5 years
female: 21.4 years (2017 est.)",20.5,19.5,21.4,-1.8999999999999984,"0-14 years: 38.56% (male 727,855/female 721,508)
15-24 years: 19.81% (male 364,570/female 379,866)
25-54 years: 33.21% (male 578,422/female 669,628)
55-64 years: 4.67% (male 79,162/female 96,297)
65 years and over: 3.76% (male 59,928/female 81,335) (2017 est.)",38.56,19.81,33.21,4.67,3.76,727855,721508,364570,379866,578422,669628,79162,96297,59928,81335,"-0.8 migrant(s)/1,000 population (2017 est.)",-0.8,30.4,7.9,22.5,Africa,63.4,61.1,65.8
Mauritius,"20 17 S, 57 33 E",-20.283333333333328,57.55,"1,356,388 (July 2017 est.)",1356388,"total: 35.3 years
male: 34.2 years
female: 36.3 years (2017 est.)",35.3,34.2,36.3,-2.0999999999999943,"0-14 years: 20.16% (male 139,721/female 133,765)
15-24 years: 14.8% (male 101,453/female 99,288)
25-54 years: 43.74% (male 296,795/female 296,485)
55-64 years: 11.59% (male 74,650/female 82,585)
65 years and over: 9.71% (male 53,985/female 77,661) (2017 est.)",20.16,14.8,43.74,11.59,9.71,139721,133765,101453,99288,296795,296485,74650,82585,53985,77661,"0 migrant(s)/1,000 population (2017 est.)",0.0,13.0,7.1,5.9,Africa,75.8,72.4,79.5
Mexico,"23 00 N, 102 00 W",23.0,-102.0,"124,574,795 (July 2017 est.)",124574795,"total: 28.3 years
male: 27.2 years
female: 29.4 years (2017 est.)",28.3,27.2,29.4,-2.2,"0-14 years: 26.93% (male 17,155,689/female 16,390,913)
15-24 years: 17.54% (male 11,065,927/female 10,778,382)
25-54 years: 40.81% (male 24,550,848/female 26,282,836)
55-64 years: 7.64% (male 4,362,868/female 5,160,514)
65 years and over: 7.09% (male 3,949,823/female 4,876,995) (2017 est.)",26.93,17.54,40.81,7.64,7.09,17155689,16390913,11065927,10778382,24550848,26282836,4362868,5160514,3949823,4876995,"-1.8 migrant(s)/1,000 population (2017 est.)",-1.8,18.3,5.3,13.0,North America,76.1,73.3,79.0
"Micronesia, Federated States of","6 55 N, 158 15 E",6.916666666666668,158.25,"104,196 (July 2017 est.)",104196,"24total: 25.1 years
male: 24.4 years
female: 25.8 years (2017 est.)",25.1,24.4,25.8,-1.4000000000000021,"0-14 years: 30.3% (male 16,050/female 15,520)
15-24 years: 19.59% (male 10,236/female 10,173)
25-54 years: 39.19% (male 19,737/female 21,094)
55-64 years: 6.99% (male 3,560/female 3,727)
65 years and over: 3.93% (male 1,849/female 2,250) (2017 est.)",30.3,19.59,39.19,6.99,3.93,16050,15520,10236,10173,19737,21094,3560,3727,1849,2250,"-20.9 migrant(s)/1,000 population (2017 est.)",-20.9,20.0,4.2,15.8,Oceania,73.1,71.1,75.3
Moldova,"47 00 N, 29 00 E",47.0,29.0,"3,474,121 (July 2017 est.)",3474121,"total: 36.7 years
male: 34.9 years
female: 38.6 years (2017 est.)",36.7,34.9,38.6,-3.700000000000003,"0-14 years: 18.18% (male 325,501/female 305,931)
15-24 years: 12.32% (male 221,582/female 206,458)
25-54 years: 43.4% (male 760,511/female 747,352)
55-64 years: 13.46% (male 214,565/female 252,924)
65 years and over: 12.64% (male 171,347/female 267,950) (2017 est.)",18.18,12.32,43.4,13.46,12.64,325501,305931,221582,206458,760511,747352,214565,252924,171347,267950,"-9.4 migrant(s)/1,000 population (2017 est.)",-9.4,11.5,12.6,-1.0999999999999996,Europe,71.0,67.1,75.1
Monaco,"43 44 N, 7 24 E",43.73333333333333,7.4,"30,645 (July 2017 est.)
note: immigrants make up almost 55% of the total population, according to UN data (2017)",30645,"total: 53.1 years
male: 51.7 years
female: 54.5 years (2017 est.)",53.1,51.7,54.5,-2.799999999999997,"0-14 years: 10.68% (male 1,685/female 1,587)
15-24 years: 9.27% (male 1,464/female 1,376)
25-54 years: 32.91% (male 5,067/female 5,018)
55-64 years: 14.94% (male 2,286/female 2,292)
65 years and over: 32.21% (male 4,387/female 5,483) (2017 est.)",10.68,9.27,32.91,14.94,32.21,1685,1587,1464,1376,5067,5018,2286,2292,4387,5483,"5.7 migrant(s)/1,000 population (2017 est.)",5.7,6.6,9.8,-3.200000000000001,Europe,89.4,85.6,93.5
Mongolia,"46 00 N, 105 00 E",46.0,105.0,"3,068,243
note: Mongolia is one of the least densely populated countries in the world (2 people per sq km); twice as many ethnic Mongols (some 6 million) live in Inner Mongolia (Nei Mongol) in neighboring China (July 2017 est.)",3068243,"total: 28.3 years
male: 27.5 years
female: 29.2 years (2017 est.)",28.3,27.5,29.2,-1.6999999999999993,"0-14 years: 26.95% (male 421,675/female 405,298)
15-24 years: 16.09% (male 249,805/female 243,784)
25-54 years: 45.6% (male 677,679/female 721,435)
55-64 years: 7.07% (male 99,099/female 117,818)
65 years and over: 4.29% (male 53,364/female 78,286) (2017 est.)",26.95,16.09,45.6,7.07,4.29,421675,405298,249805,243784,677679,721435,99099,117818,53364,78286,"-0.8 migrant(s)/1,000 population (2017 est.)",-0.8,18.9,6.3,12.599999999999998,Asia,69.9,65.7,74.4
Montserrat,"16 45 N, 62 12 W",16.75,-62.2,"5,292
note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned (July 2017 est.)",5292,"total: 33.2 years
male: 32.6 years
female: 33.7 years (2017 est.)",33.2,32.6,33.7,-1.1000000000000014,"0-14 years: 16.5% (male 449/female 424)
15-24 years: 21.52% (male 599/female 540)
25-54 years: 47.43% (male 1,201/female 1,309)
55-64 years: 8.45% (male 194/female 253)
65 years and over: 6.1% (male 199/female 124) (2017 est.)",16.5,21.52,47.43,8.45,6.1,449,424,599,540,1201,1309,194,253,199,124,"0 migrant(s)/1,000 population (2017 est.)",0.0,10.8,6.2,4.6000000000000005,Central America and the Caribbean,74.6,75.9,73.2
Morocco,"32 00 N, 5 00 W",32.0,-5.0,"33,986,655 (July 2017 est.)",33986655,"total: 29.3 years
male: 28.6 years
female: 29.9 years (2017 est.)",29.3,28.6,29.9,-1.2999999999999972,"0-14 years: 25.77% (male 4,450,360/female 4,308,955)
15-24 years: 17.04% (male 2,879,828/female 2,910,029)
25-54 years: 42.32% (male 6,956,186/female 7,428,129)
55-64 years: 8.13% (male 1,365,611/female 1,398,553)
65 years and over: 6.74% (male 1,034,188/female 1,254,816) (2017 est.)",25.77,17.04,42.32,8.13,6.74,4450360,4308955,2879828,2910029,6956186,7428129,1365611,1398553,1034188,1254816,"-3.2 migrant(s)/1,000 population (2017 est.)",-3.2,17.7,4.9,12.8,Africa,77.1,74.0,80.3
Mozambique,"18 15 S, 35 00 E",-18.25,35.0,"26,573,706
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",26573706,"total: 17.2 years
male: 16.6 years
female: 17.8 years (2017 est.)",17.2,16.6,17.8,-1.1999999999999993,"0-14 years: 44.72% (male 5,975,407/female 5,908,511)
15-24 years: 21.57% (male 2,824,012/female 2,907,033)
25-54 years: 27.42% (male 3,409,425/female 3,875,837)
55-64 years: 3.4% (male 435,203/female 468,939)
65 years and over: 2.9% (male 352,546/female 416,793) (2017 est.)",44.72,21.57,27.42,3.4,2.9,5975407,5908511,2824012,2907033,3409425,3875837,435203,468939,352546,416793,"-1.9 migrant(s)/1,000 population (2017 est.)",-1.9,38.1,11.6,26.5,Africa,53.7,52.9,54.5
Namibia,"22 00 S, 17 00 E",-22.0,17.0,"2,484,780
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",2484780,"total: 21.2 years
male: 20.4 years
female: 21.9 years (2017 est.)",21.2,20.4,21.9,-1.5,"0-14 years: 36.97% (male 463,810/female 454,735)
15-24 years: 20.35% (male 251,838/female 253,823)
25-54 years: 34.37% (male 408,536/female 445,500)
55-64 years: 4.35% (male 48,529/female 59,543)
65 years and over: 3.96% (male 41,912/female 56,554) (2017 est.)",36.97,20.35,34.37,4.35,3.96,463810,454735,251838,253823,408536,445500,48529,59543,41912,56554,"0 migrant(s)/1,000 population (2017 est.)",0.0,27.3,7.9,19.4,Africa,64.0,62.4,65.6
Nauru,"0 32 S, 166 55 E",-0.5333333333333333,166.91666666666666,"11,359 (July 2017 est.)",11359,"total: 26.4 years
male: 27 years
female: 25.7 years (2017 est.)",26.4,27.0,25.7,1.3000000000000007,"0-14 years: 31.4% (male 1,323/female 1,705)
15-24 years: 16.21% (male 766/female 797)
25-54 years: 43.4% (male 2,112/female 2,073)
55-64 years: 6.38% (male 240/female 375)
65 years and over: 2.6% (male 96/female 155) (2017 est.)",31.4,16.21,43.4,6.38,2.6,1323,1705,766,797,2112,2073,240,375,96,155,"-12.8 migrant(s)/1,000 population (2017 est.)",-12.8,24.0,5.9,18.1,Oceania,67.4,63.3,70.9
Nepal,"28 00 N, 84 00 E",28.0,84.0,"29,384,297 (July 2017 est.)",29384297,"total: 24.1 years
male: 22.8 years
female: 25.3 years (2017 est.)",24.1,22.8,25.3,-2.5,"0-14 years: 30.2% (male 4,610,861/female 4,264,580)
15-24 years: 21.73% (male 3,220,431/female 3,164,292)
25-54 years: 36.58% (male 4,847,427/female 5,900,442)
55-64 years: 6.32% (male 897,999/female 959,405)
65 years and over: 5.17% (male 753,771/female 765,089) (2017 est.)",30.2,21.73,36.58,6.32,5.17,4610861,4264580,3220431,3164292,4847427,5900442,897999,959405,753771,765089,"-2.2 migrant(s)/1,000 population (2017 est.)",-2.2,19.5,5.6,13.9,Asia,71.0,70.4,71.6
Netherlands,"52 30 N, 5 45 E",52.5,5.75,"17,084,719 (July 2017 est.)",17084719,"total: 42.6 years
male: 41.5 years
female: 43.6 years (2017 est.)",42.6,41.5,43.6,-2.1000000000000014,"0-14 years: 16.41% (male 1,434,919/female 1,368,437)
15-24 years: 12.07% (male 1,051,319/female 1,010,969)
25-54 years: 39.52% (male 3,387,716/female 3,364,010)
55-64 years: 13.28% (male 1,128,484/female 1,139,703)
65 years and over: 18.73% (male 1,449,752/female 1,749,410) (2017 est.)",16.41,12.07,39.52,13.28,18.73,1434919,1368437,1051319,1010969,3387716,3364010,1128484,1139703,1449752,1749410,"1.9 migrant(s)/1,000 population (2017 est.)",1.9,10.9,8.9,2.0,Europe,81.4,79.3,83.7
New Caledonia,"21 30 S, 165 30 E",-21.5,165.5,"279,070 (July 2017 est.)",279070,"total: 32 years
male: 31.2 years
female: 32.7 years (2017 est.)",32.0,31.2,32.7,-1.5000000000000036,"0-14 years: 22.46% (male 32,025/female 30,648)
15-24 years: 16.44% (male 23,438/female 22,438)
25-54 years: 43.5% (male 61,169/female 60,232)
55-64 years: 8.4% (male 11,352/female 12,097)
65 years and over: 9.2% (male 11,396/female 14,275) (2017 est.)",22.46,16.44,43.5,8.4,9.2,32025,30648,23438,22438,61169,60232,11352,12097,11396,14275,"3.9 migrant(s)/1,000 population
note: there has been steady emigration from Wallis and Futuna to New Caledonia (2017 est.)",3.9,15.0,5.7,9.3,Oceania,77.9,73.9,82.0
New Zealand,"41 00 S, 174 00 E",-41.0,174.0,"4,510,327 (July 2017 est.)",4510327,"total: 37.9 years
male: 37.1 years
female: 38.8 years (2017 est.)",37.9,37.1,38.8,-1.6999999999999955,"0-14 years: 19.69% (male 454,982/female 432,877)
15-24 years: 13.35% (male 309,707/female 292,586)
25-54 years: 39.82% (male 900,374/female 895,615)
55-64 years: 11.89% (male 261,097/female 275,151)
65 years and over: 15.25% (male 318,089/female 369,849) (2017 est.)",19.69,13.35,39.82,11.89,15.25,454982,432877,309707,292586,900374,895615,261097,275151,318089,369849,"2.2 migrant(s)/1,000 population (2017 est.)",2.2,13.2,7.5,5.6999999999999975,Oceania,81.3,79.1,83.5
